PidLidEmail1OriginalEntryId,0x00008085,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1RichTextFormat,0x00008086,PtypBoolean,0x000b,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2AddressType,0x00008092,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2DisplayName,0x00008090,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2EmailAddress,0x00008093,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2EmailType,0x00008097,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2EntryId,0x00008091,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2OriginalDisplayName,0x00008094,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2OriginalEntryId,0x00008095,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail2RichTextFormat,0x00008096,PtypBoolean,0x000b,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3AddressType,0x000080a2,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3DisplayName,0x000080a0,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3EmailAddress,0x000080a3,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3EmailType,0x000080A7,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3EntryId,0x000080A1,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3OriginalDisplayName,0x000080a4,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3OriginalEntryId,0x000080a5,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3RichtextFormat,0x000080A6,PtypBoolean,0x000B,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail3RichTextFormat,0x000080a6,PtypBoolean,0x000b,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmailList,0x00008027,PtypMultipleInteger32,0x1003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEndRecurrenceDate,0x0000000f,PtypInteger32,0x0003,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidEndRecurrenceTime,0x00000010,PtypInteger32,0x0003,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidExceptionReplaceTime,0x00008228,PtypTime,0x0040,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidFax1AddressType,0x000080b2,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1DisplayName,0x000080B0,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1EmailAddress,0x000080b3,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1EmailType,0x000080B7,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1EntryId,0x000080B1,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1OriginalDisplayName,0x000080b4,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1OriginalEntryId,0x000080b5,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax1RichTextFormat,0x000080B6,PtypBoolean,0x000B,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax2AddressType,0x000080c2,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax2DisplayName,0x000080C0,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax2EmailAddress,0x000080c3,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidFax2EmailType,0x000080C7,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
